name,country_code,state_code,region,city,market_category,market,founded_at,funding_total_usd,funding_rounds,first_funding_at,last_funding_at,status,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
MashMango,,,,,E-Commerce & Retail, Curated Web ,2008-12-01,100000.0,1.0,2010-06-01,2010-06-01,operating,100000.0,,,,,,,,,,,,,,,,,,,,
MashMe.TV,,,,,Entertainment & Media, Video ,,653600.0,1.0,2013-04-30,2013-04-30,operating,,653600.0,,,,,,,,,,,,,,,,,,,
MashON,USA,CA,Los Angeles,Los Angeles,Other, Mass Customization ,2004-04-01,5498172.0,4.0,2009-10-28,2011-03-09,operating,,1820071.0,,,,3058030.0,,,,,,,,,,620071.0,,,,,
Mashup Arts,CAN,NS,Halifax,Halifax,Entertainment & Media, Music ,2007-08-01,1580000.0,2.0,2008-01-01,2008-08-01,operating,480000.0,,,,,,1100000.0,,,,,,,,,,,,,,
Mashups,USA,CA,Los Angeles,Los Angeles,Software & SaaS, Technology ,2014-06-11,60000.0,1.0,2014-06-11,2014-06-11,operating,60000.0,,,,,,,,,,,,,,,,,,,,
Mashwork,USA,NY,New York City,New York,Analytics & AI, Analytics ,2010-03-10,1500000.0,1.0,2014-05-06,2014-05-06,operating,,1500000.0,,,,,,,,,,,,,,,,,,,
Maskless Lithography,USA,CA,SF Bay Area,San Jose,Hardware & Semiconductors, Hardware + Software ,,10931341.0,4.0,2009-09-16,2012-07-01,operating,,3312410.0,,,,7618931.0,,,,,,,,,,,,,,,
MaSpatule.com,FRA,,Paris,Paris,E-Commerce & Retail, E-Commerce ,2012-01-01,528189.0,1.0,2013-01-01,2013-01-01,operating,,,,,,,,,528189.0,,,,,,,,,,,,
Masquemedicos,ESP,,Madrid,Madrid,Other, Doctors ,2009-08-10,57166.0,1.0,2010-09-29,2010-09-29,operating,57166.0,,,,,,,,,,,,,,,,,,,,
Mass Appeal,USA,NY,New York City,New York,Entertainment & Media, News ,1996-01-01,1200000.0,1.0,2013-05-01,2013-05-01,operating,,,,,,,1200000.0,,,,,,,,,,,,,,
Mass Fidelity,CAN,ON,Toronto,Toronto,Entertainment & Media, Content ,2009-01-01,500000.0,1.0,2014-09-30,2014-09-30,operating,,,,,,,,,,,,,500000.0,,,,,,,,
Mass Relevance,USA,TX,Austin,Austin,Other, Twitter Applications ,2010-12-20,11000000.0,2.0,2010-12-20,2012-05-16,operating,,5500000.0,,,,,,,,,,,,5500000.0,,,,,,,
MASS-ACTIVE Techgroup,KOR,,Incheon,Incheon,,,2012-12-01,9212.0,1.0,2013-03-01,2013-03-01,operating,,,,,,,9212.0,,,,,,,,,,,,,,
Massachusetts Clean Energy Center,USA,MA,Boston,Boston,Clean Tech & Energy, Clean Technology ,2008-08-13,300000.0,1.0,2013-09-05,2013-09-05,operating,300000.0,,,,,,,,,,,,,,,,,,,,
Massachusetts Institute of Technology - MIT,USA,MA,Boston,Cambridge,Education, Education ,1861-04-10,90000000.0,1.0,2014-01-06,2014-01-06,operating,,,,,,,,90000000.0,,,,,,,,,,,,,
Massachusetts Life Sciences Center,USA,MA,Boston,Waltham,Biotechnology, Biotechnology ,,3400000.0,1.0,2011-02-23,2011-02-23,operating,,,,,,,,3400000.0,,,,,,,,,,,,,
MassBioEd,USA,MD,Salisbury,Cambridge,Education, Education ,2001-01-01,100000.0,1.0,2013-06-21,2013-06-21,operating,,,,,,,,100000.0,,,,,,,,,,,,,
Massdrop,USA,CA,SF Bay Area,San Francisco,Social & Communication, Social Commerce ,2012-07-01,14350000.0,2.0,2013-09-01,2014-09-24,operating,1350000.0,6500000.0,,,,,,,,,,,,6500000.0,,,,,,,
MassHousing,USA,MA,Boston,Boston,Real Estate, Real Estate ,1966-01-01,17800000.0,2.0,2013-11-25,2014-02-07,operating,,,,,,17800000.0,,,,,,,,,,,,,,,
Massive,,,,,Entertainment & Media, Games ,,20000000.0,2.0,2004-07-01,2005-01-19,acquired,,10000000.0,,,,,,,,,,,,,,10000000.0,,,,,
Massive Analytic,GBR,,London,London,Analytics & AI, Big Data ,2010-01-15,165000.0,1.0,2014-04-28,2014-04-28,operating,,,165000.0,,,,,,,,,,,,,,,,,,
Massive Damage,CAN,ON,Toronto,Toronto,Other, Location Based Services ,2010-11-15,432746.0,3.0,2010-11-15,2011-09-30,operating,,,,,,,432746.0,,,,,,,,,,,,,,
Massive Health,USA,CA,SF Bay Area,San Francisco,Other, Diabetes ,2010-12-01,2250000.0,1.0,2011-02-02,2011-02-02,acquired,2250000.0,,,,,,,,,,,,,,,,,,,,
Massive Solutions,GBR,,London,London,Software & SaaS, Linux ,2007-05-12,100000.0,1.0,2013-12-01,2013-12-01,operating,100000.0,,,,,,,,,,,,,,,,,,,,
Massively Parallel Technologies,USA,CO,Denver,Boulder,Software & SaaS, Software ,1999-01-01,5388575.0,1.0,2011-08-10,2011-08-10,operating,,5388575.0,,,,,,,,,,,,,,,,,,,
MassiveU,USA,FL,"Naples, Florida",Naples,Mobile, Apps ,2012-01-01,700000.0,1.0,2014-10-15,2014-10-15,operating,700000.0,,,,,,,,,,,,,,,,,,,,
MassMutual,USA,MA,Springfield,Springfield,Finance & FinTech, Insurance ,,6000000.0,1.0,2014-06-26,2014-06-26,operating,6000000.0,,,,,,,,,,,,,,,,,,,,
MASSOLIT,,,,,,,2013-09-05,40791.0,1.0,2014-09-18,2014-09-18,operating,40791.0,,,,,,,,,,,,,,,,,,,,
MassRoots,USA,CO,Denver,Denver,Mobile, Mobile ,2013-04-16,725000.0,3.0,2013-12-17,2014-09-26,operating,625000.0,100000.0,,,,,,,,,,,,,,,,,,,
Master Equation,IND,,Pune,Pune,Other, iPhone ,2010-02-12,50000.0,1.0,2013-02-15,2013-02-15,operating,50000.0,,,,,,,,,,,,,,,,,,,,
Master The Gap,USA,NC,Raleigh,Morrisville,Finance & FinTech, Trading ,2008-01-01,725000.0,1.0,2014-04-22,2014-04-22,operating,725000.0,,,,,,,,,,,,,,,,,,,,
Masterbranch,USA,CA,SF Bay Area,San Francisco,Other, Recruiting ,2010-01-01,470000.0,1.0,2011-05-23,2011-05-23,operating,,470000.0,,,,,,,,,,,,,,,,,,,
MasterImage 3D,KOR,,Seoul,Seoul,Hardware & Semiconductors, Hardware + Software ,2004-01-01,15000000.0,1.0,2011-03-22,2011-03-22,operating,,15000000.0,,,,,,,,,,,,,,,,,,,
Masterseek,USA,NV,Reno - Sparks,Carson City,Other, Search ,1999-02-19,26000000.0,2.0,2000-05-01,2007-05-01,operating,,12000000.0,,,,,2000000.0,,,,,,,12000000.0,,,,,,,
MasteryConnect,USA,UT,Salt Lake City,Sandy,Education, Education ,2009-10-01,47000000.0,5.0,2009-10-01,2014-09-25,operating,1100000.0,22875000.0,,,,,150000.0,,,,,,,7675000.0,15200000.0,,,,,,
Mastodon C,,,,,,,2012-01-01,19567.0,1.0,2012-07-01,2012-07-01,operating,19567.0,,,,,,,,,,,,,,,,,,,,
Matatena Games,USA,TX,Houston,Houston,Entertainment & Media, Games ,2011-12-01,120000.0,1.0,2011-01-15,2011-01-15,closed,120000.0,,,,,,,,,,,,,,,,,,,,
Match Capital,GBR,,London,London,Finance & FinTech, Finance ,2012-07-03,255885.0,1.0,2014-06-30,2014-06-30,operating,255885.0,,,,,,,,,,,,,,,,,,,,
Match Point Partners,USA,NY,New York City,New York,Finance & FinTech, Finance ,2012-01-01,25000000.0,1.0,2014-04-03,2014-04-03,operating,,,,,,,,,25000000.0,,,,,,,,,,,,
Matcha,USA,CA,SF Bay Area,Mountain View,Software & SaaS, Internet TV ,2011-01-01,20000.0,2.0,2011-08-24,2012-06-07,acquired,20000.0,,,,,,,,,,,,,,,,,,,,
Matchbin,USA,UT,Salt Lake City,Bountiful,Software & SaaS, Web Hosting ,2002-12-09,10091372.0,4.0,2008-05-01,2011-10-27,operating,,9491372.0,,,,600000.0,,,,,,,,,,,,,,,
Matchbook,USA,NY,New York City,New York,Travel & Hospitality, Restaurants ,2010-09-01,250000.0,1.0,2012-02-13,2012-02-13,operating,250000.0,,,,,,,,,,,,,,,,,,,,
Matchbox,USA,MA,Boston,Cambridge,Software & SaaS, Enterprise Software ,2011-04-28,2500000.0,1.0,2011-12-19,2011-12-19,acquired,,2500000.0,,,,,,,,,,,,,,,,,,,
Matches Fashion,GBR,,GBR - Other,,E-Commerce & Retail, Fashion ,1990-01-01,19513709.0,1.0,2012-09-21,2012-09-21,operating,,,,19513709.0,,,,,,,,,,,,,,,,,
MATCHESFASHION.COM,GBR,,London,London,E-Commerce & Retail, Fashion ,,63474934.0,1.0,2012-11-14,2012-11-14,operating,,31737467.0,,,,,,,,,,,,31737467.0,,,,,,,
Matchfund,USA,CA,SF Bay Area,San Jose,Finance & FinTech, Finance ,2008-01-01,40000.0,1.0,2011-11-23,2011-11-23,operating,40000.0,,,,,,,,,,,,,,,,,,,,
MatchMine,USA,MA,Boston,Needham,Other, Reviews and Recommendations ,2007-01-01,20000000.0,1.0,2007-09-01,2007-09-01,closed,,10000000.0,,,,,,,,,,,,10000000.0,,,,,,,
Matchpin,,,,,Other, Local ,2009-01-01,250000.0,1.0,2011-05-25,2011-05-25,closed,250000.0,,,,,,,,,,,,,,,,,,,,
Matchpoint,USA,CA,Los Angeles,West Hollywood,Entertainment & Media, Film ,,500000.0,1.0,2012-01-31,2012-01-31,operating,500000.0,,,,,,,,,,,,,,,,,,,,
Matchpoint Careers,USA,NY,New York City,New York,Software & SaaS, Human Resources ,2009-09-24,2000000.0,1.0,2011-04-08,2011-04-08,operating,,1000000.0,,,,,,,,,,,,1000000.0,,,,,,,
Matchup,USA,IL,Chicago,Chicago,Other, Tracking ,2014-06-01,800000.0,1.0,2014-11-07,2014-11-07,operating,800000.0,,,,,,,,,,,,,,,,,,,,
Materia,USA,CA,Los Angeles,Pasadena,Manufacturing & Logistics, Manufacturing ,1998-01-01,14900000.0,1.0,2014-03-14,2014-03-14,operating,,14900000.0,,,,,,,,,,,,,,,,,,,
Material Mix,USA,MO,St. Louis,Saint Louis,Clean Tech & Energy, Clean Technology ,2011-02-01,140000.0,3.0,2012-03-05,2013-08-22,operating,140000.0,,,,,,,,,,,,,,,,,,,,
Material Wrld,USA,NY,New York City,New York,E-Commerce & Retail, Online Shopping ,,780000.0,1.0,2012-12-11,2012-12-11,operating,780000.0,,,,,,,,,,,,,,,,,,,,
Materialise,BEL,,Brussels,Leuven,Hardware & Semiconductors, Hardware + Software ,1990-01-01,6583047.0,1.0,2012-12-17,2012-12-17,operating,,,,,,,,,6583047.0,,,,,,,,,,,,
Materials and Systems Research,USA,UT,Salt Lake City,Salt Lake City,Other, Market Research ,1990-01-01,2800000.0,1.0,2014-09-04,2014-09-04,operating,,2800000.0,,,,,,,,,,,,,,,,,,,
Materna Medical,USA,CA,SF Bay Area,San Francisco,Healthcare, Health Care ,2007-06-01,1000000.0,1.0,2010-12-01,2010-12-01,operating,,,,,,,1000000.0,,,,,,,,,,,,,,
Maternova,USA,RI,Providence,Providence,Social & Communication, Social Network Media ,,50000.0,1.0,2012-07-30,2012-07-30,operating,50000.0,,,,,,,,,,,,,,,,,,,,
Mathsoft Engineering & Education,USA,MA,Boston,Cambridge,Software & SaaS, Software ,1984-01-01,6000000.0,1.0,2005-03-09,2005-03-09,acquired,,3000000.0,,,,,,,,,,,,,3000000.0,,,,,,
MathZee,,,,,Other, Startups ,2010-01-01,15000.0,1.0,2010-06-01,2010-06-01,operating,15000.0,,,,,,,,,,,,,,,,,,,,
Mati Therapeutics,USA,TX,Austin,Austin,Biotechnology, Biotechnology ,2012-01-01,1460000.0,2.0,2013-04-15,2014-10-07,operating,,1460000.0,,,,,,,,,,,,,,,,,,,
MATINAS BIOPHARMA,USA,FL,Tampa,Tarpon Springs,Biotechnology, Biotechnology ,2011-01-01,8593751.0,2.0,2013-05-17,2013-08-07,operating,,8593751.0,,,,,,,,,,,,,,,,,,,
Matisse Networks,USA,CA,SF Bay Area,Mountain View,Software & SaaS, Web Hosting ,2002-01-01,15000000.0,1.0,2006-07-18,2006-07-18,closed,,7500000.0,,,,,,,,,,,,,7500000.0,,,,,,
Matomy Market,,,,,Advertising & Marketing, Advertising ,2007-04-01,17000000.0,1.0,2010-07-12,2010-07-12,operating,,,,,,,,,17000000.0,,,,,,,,,,,,
Matomy Media Group,ISR,,Tel Aviv,Tel Aviv,Mobile, Mobile ,2007-06-01,17000000.0,1.0,2010-07-01,2010-07-01,operating,,,,,,,,,17000000.0,,,,,,,,,,,,
Matomy Money,ISR,,ISR - Other,,Advertising & Marketing, Advertising ,2009-04-01,1000000.0,1.0,2010-07-15,2010-07-15,acquired,1000000.0,,,,,,,,,,,,,,,,,,,,
Matrimony.com,IND,,Chennai,Chennai,Other, Classifieds ,1997-04-14,40800000.0,2.0,2006-08-02,2008-02-06,operating,,20400000.0,,,,,,,,,,,,8650000.0,11750000.0,,,,,,
Matrix Asset Management,CAN,BC,Vancouver,Vancouver,,,1998-01-01,362250.0,1.0,2014-07-30,2014-07-30,operating,,,,,,362250.0,,,,,,,,,,,,,,,
Matrix Electronic Measuring,USA,KS,Wichita,Salina,Hardware & Semiconductors, Hardware + Software ,1985-01-01,50000.0,1.0,2010-05-18,2010-05-18,operating,,50000.0,,,,,,,,,,,,,,,,,,,
Matrix-Bio,USA,IN,Fort Wayne,Fort Wayne,Biotechnology, Biotechnology ,,140000.0,1.0,2011-02-02,2011-02-02,operating,,140000.0,,,,,,,,,,,,,,,,,,,
MatrixVision,,,,,,,2013-11-18,120000.0,2.0,2013-11-30,2014-07-11,operating,70000.0,,,,,,50000.0,,,,,,,,,,,,,,
MATRIXX Software,USA,CA,SF Bay Area,Mountain View,Software & SaaS, Software ,1990-01-01,67200000.0,5.0,2010-03-11,2014-05-28,operating,,33600000.0,,,,,,,,,,,,21600000.0,12000000.0,,,,,,
MatsSoft,GBR,,London,Bedford,Software & SaaS, Software ,,4278125.0,1.0,2011-03-17,2011-03-17,operating,,,,4278125.0,,,,,,,,,,,,,,,,,
MATTER,USA,IL,Chicago,Chicago,Healthcare, Health Care ,2014-01-01,4400000.0,1.0,2014-11-19,2014-11-19,operating,,4400000.0,,,,,,,,,,,,,,,,,,,
Matter and Form,CAN,ON,Toronto,Toronto,Other, Printing ,,2000000.0,1.0,2014-08-19,2014-08-19,operating,2000000.0,,,,,,,,,,,,,,,,,,,,
Matter.io,USA,NY,New York City,Brooklyn,Other, PaaS ,2012-10-01,1000000.0,1.0,2014-01-24,2014-01-24,operating,,,,1000000.0,,,,,,,,,,,,,,,,,
Mattermark,USA,CA,SF Bay Area,San Francisco,Analytics & AI, Big Data ,2013-06-04,3400000.0,3.0,2012-10-15,2014-06-29,operating,3400000.0,,,,,,,,,,,,,,,,,,,,
Matternet,USA,CA,SF Bay Area,Menlo Park,Hardware & Semiconductors, Drones ,,2000000.0,2.0,2012-05-03,2013-11-01,operating,,,,,,,2000000.0,,,,,,,,,,,,,,
Matterport,USA,CA,SF Bay Area,Mountain View,Software & SaaS, Cloud Computing ,2011-01-01,50400000.0,4.0,2012-01-01,2014-07-07,operating,1600000.0,24400000.0,,,,,,,,,,,,8400000.0,16000000.0,,,,,,
Mattersight,USA,IL,Chicago,Chicago,Software & SaaS, Software ,2006-01-01,23999999.0,3.0,2012-01-03,2014-07-24,operating,,11999999.0,,,,,,,,12000000.0,,,,,,,,,,,
Matthew Kenney Cuisine,USA,CA,Los Angeles,Santa Monica,Education, Education ,2012-04-02,250000.0,1.0,2014-03-18,2014-03-18,operating,,,250000.0,,,,,,,,,,,,,,,,,,
Matthew Walker Comprehensive Health Center,USA,TN,Nashville,Nashville,Other, Nonprofits ,1968-01-01,173210.0,1.0,2014-02-12,2014-02-12,operating,,,,,,,,173210.0,,,,,,,,,,,,,
Mature Women's Health Solutions,USA,CA,SF Bay Area,Los Gatos,,,2012-01-01,6000000.0,1.0,2012-10-01,2012-10-01,operating,,6000000.0,,,,,,,,,,,,,,,,,,,
maufait,USA,NE,Omaha,Omaha,Mobile, Mobile ,2007-08-01,25000.0,1.0,2008-07-03,2008-07-03,closed,25000.0,,,,,,,,,,,,,,,,,,,,
Maui Imaging,USA,CA,SF Bay Area,Sunnyvale,Biotechnology, Biotechnology ,2006-01-01,980000.0,1.0,2010-04-19,2010-04-19,closed,,980000.0,,,,,,,,,,,,,,,,,,,
MaulSoup,,,,,Healthcare, Health and Wellness ,,5400000.0,1.0,2010-01-30,2010-01-30,operating,,2700000.0,,,,,,,,,,,,2700000.0,,,,,,,
Mavatar,USA,CA,SF Bay Area,Redwood City,E-Commerce & Retail, E-Commerce ,,1450000.0,1.0,2013-01-01,2013-01-01,operating,1450000.0,,,,,,,,,,,,,,,,,,,,
Maven,USA,CA,SF Bay Area,San Francisco,Software & SaaS, Consulting ,2008-02-01,5000000.0,2.0,2010-07-06,2012-07-01,operating,1000000.0,2000000.0,,,,,,,,,,,,2000000.0,,,,,,,
Maven Biotechnologies,USA,CA,Los Angeles,Pasadena,Biotechnology, Biotechnology ,,1960000.0,1.0,2010-10-04,2010-10-04,operating,,,,,,,,1960000.0,,,,,,,,,,,,,
Maven Networks,,,,,Entertainment & Media, Games ,,24000000.0,1.0,2006-08-07,2006-08-07,acquired,,12000000.0,,,,,,,,,,,,,,12000000.0,,,,,
Maven7,HUN,,Budapest,Budapest,Software & SaaS, Software ,2009-01-01,739795.0,1.0,2014-02-27,2014-02-27,operating,739795.0,,,,,,,,,,,,,,,,,,,,
MavenHut,IRL,,Dublin,Dublin,Other, Facebook Applications ,2012-04-01,1452768.0,2.0,2012-02-26,2012-11-07,operating,20118.0,716325.0,,,,,,,,,,,,,716325.0,,,,,,
Mavenir Systems,USA,TX,Dallas,Richardson,Social & Communication, Communications Hardware ,2005-01-01,210516724.0,6.0,2006-07-05,2013-07-18,operating,,105258362.0,,,,,,,,,,,,13000000.0,20500000.0,17500000.0,13600000.0,40000000.0,658362.0,,
Mavenlink,USA,CA,Anaheim,Irvine,Software & SaaS, Project Management ,2008-09-01,19929415.0,3.0,2011-11-09,2013-12-12,operating,,12929415.0,,,,,,,,,,,,,,7000000.0,,,,,
Mavent,USA,CA,Anaheim,Irvine,Software & SaaS, Software ,1999-01-01,10000000.0,1.0,2006-09-25,2006-09-25,acquired,,10000000.0,,,,,,,,,,,,,,,,,,,
Maventus Group Inc,USA,CA,SF Bay Area,San Francisco,Advertising & Marketing, Social Media Marketing ,2013-10-01,800000.0,1.0,2010-01-01,2010-01-01,operating,800000.0,,,,,,,,,,,,,,,,,,,,
Maverick Wine Group LLC.,USA,CA,CA - Other,Santa Maria,Healthcare, Hospitality ,,150000.0,1.0,2006-01-01,2006-01-01,operating,150000.0,,,,,,,,,,,,,,,,,,,,
Maverix Biomics,USA,CA,SF Bay Area,San Mateo,Biotechnology, Biotechnology ,2012-01-01,12000000.0,1.0,2014-01-07,2014-01-07,operating,,6000000.0,,,,,,,,,,,,6000000.0,,,,,,,
Mavin,USA,CA,SF Bay Area,Palo Alto,Advertising & Marketing, Mobile Advertising ,,28000.0,1.0,2013-11-10,2013-11-10,operating,28000.0,,,,,,,,,,,,,,,,,,,,
Mavizon,USA,IN,IN - Other,New Albany,Other, Cars ,2006-01-01,6900000.0,3.0,2010-01-01,2012-01-01,operating,4000000.0,,,,,,2900000.0,,,,,,,,,,,,,,
Mavrx,USA,CA,SF Bay Area,San Francisco,Analytics & AI, Analytics ,2012-01-01,80000.0,2.0,2013-12-31,2014-08-01,operating,80000.0,,,,,,,,,,,,,,,,,,,,
Max Endoscopy,USA,OH,Cleveland,Macedonia,Biotechnology, Biotechnology ,2007-01-01,385000.0,2.0,2010-03-09,2010-10-27,operating,385000.0,,,,,,,,,,,,,,,,,,,,
Max Planck Florida Institute,USA,FL,Palm Beaches,Jupiter,Education, Education ,2008-01-01,2400000.0,1.0,2013-07-09,2013-07-09,operating,,,,,,,,2400000.0,,,,,,,,,,,,,
Max Rumpus,FIN,,Helsinki,Helsinki,Software & SaaS, Software ,,254000.0,1.0,2006-09-12,2006-09-12,operating,,254000.0,,,,,,,,,,,,,,,,,,,
Max-Viz,USA,OR,"Portland, Oregon",Portland,Hardware & Semiconductors, Hardware + Software ,2001-01-01,6000000.0,1.0,2008-01-01,2008-01-01,acquired,,3000000.0,,,,,,,,,,,,3000000.0,,,,,,,
Max-Wellness,USA,OH,Cleveland,Cleveland,,,2008-01-01,4600000.0,3.0,2009-08-07,2011-01-22,operating,,4600000.0,,,,,,,,,,,,,,,,,,,
Maxcyte,USA,MD,"Washington, D.C.",Gaithersburg,Biotechnology, Biotechnology ,1999-01-01,1500000.0,1.0,2009-08-31,2009-08-31,operating,,1500000.0,,,,,,,,,,,,,,,,,,,
Maxeler Technologies,USA,CA,SF Bay Area,Palo Alto,Software & SaaS, Web Hosting ,2003-01-01,1998990.0,1.0,2013-04-18,2013-04-18,operating,,1998990.0,,,,,,,,,,,,,,,,,,,
Maximum Balance Foundation,USA,CA,SF Bay Area,San Francisco,Education, Education ,2005-01-01,1000.0,1.0,2005-01-01,2005-01-01,operating,1000.0,,,,,,,,,,,,,,,,,,,,
Maximus,USA,VA,"Washington, D.C.",Reston,Software & SaaS, Business Services ,1975-01-01,7926732.0,1.0,2010-12-09,2010-12-09,operating,,7926732.0,,,,,,,,,,,,,,,,,,,
Maximus Media Worldwide,USA,PA,Pittsburgh,Pittsburgh,Advertising & Marketing, Advertising ,2011-01-01,600000.0,1.0,2012-06-19,2012-06-19,operating,600000.0,,,,,,,,,,,,,,,,,,,,
MaxLinear,USA,CA,San Diego,Carlsbad,Hardware & Semiconductors, Semiconductors ,,20000000.0,1.0,2007-01-29,2007-01-29,operating,,20000000.0,,,,,,,,,,,,,,,,,,,
Maxpanda SaaS Software,USA,CA,Los Angeles,Santa Monica,Software & SaaS, Software ,2011-01-01,250000.0,1.0,2012-10-17,2012-10-17,operating,250000.0,,,,,,,,,,,,,,,,,,,,
MaxPoint Interactive,USA,NC,Raleigh,Cary,Advertising & Marketing, Advertising ,2007-01-01,22000000.0,2.0,2010-09-14,2011-03-01,operating,,11000000.0,,,,,,,,,,,,3000000.0,8000000.0,,,,,,
MaxPreps,,,,,Entertainment & Media, Sports ,,14000000.0,1.0,2006-07-19,2006-07-19,acquired,,7000000.0,,,,,,,,,,,,,7000000.0,,,,,,
Maxscend Technologies,CHN,,Shanghai,Shanghai,Manufacturing & Logistics, Manufacturing ,2006-04-01,22000000.0,2.0,2006-10-01,2008-06-01,operating,,11000000.0,,,,,,,,,,,,3000000.0,8000000.0,,,,,,
Maxta,USA,CA,SF Bay Area,Sunnyvale,Software & SaaS, Software ,2009-01-01,70000000.0,2.0,2013-11-12,2014-05-07,,,35000000.0,,,,,,,,,,,,10000000.0,25000000.0,,,,,,
Maxtena,USA,MD,"Washington, D.C.",Rockville,Manufacturing & Logistics, Aerospace ,2006-01-01,2662571.0,3.0,2012-11-29,2013-06-20,operating,2662571.0,,,,,,,,,,,,,,,,,,,,
MaxTradeIn.com,USA,IN,Indianapolis,Indianapolis,Manufacturing & Logistics, Automotive ,2011-09-04,1407360.0,2.0,2012-12-01,2013-06-11,operating,857360.0,,,,,,550000.0,,,,,,,,,,,,,,
MaxTraffic,LVA,,Riga,Riga,Analytics & AI, Analytics ,2012-01-01,66086.0,1.0,2013-09-01,2013-09-01,operating,,,,,,66086.0,,,,,,,,,,,,,,,
MaxVision,USA,AL,Huntsville,Madison,Hardware & Semiconductors, Hardware + Software ,1993-01-01,2000000.0,1.0,2010-05-11,2010-05-11,operating,,2000000.0,,,,,,,,,,,,,,,,,,,
MaXware,NOR,,Trondheim,Trondheim,Security, Security ,1989-01-01,10000000.0,1.0,2005-12-05,2005-12-05,operating,,5000000.0,,,,,,,,,,,,5000000.0,,,,,,,
Maxwell Health,USA,MA,Boston,Boston,Other, Employer Benefits Programs ,2012-11-01,16000000.0,2.0,2013-08-05,2013-12-17,operating,,8000000.0,,,,,,,,,,,,8000000.0,,,,,,,
MaxWest Environmental Systems,USA,FL,Orlando,Sanford,Clean Tech & Energy, Clean Technology ,,85000000.0,2.0,2008-08-18,2011-04-12,operating,,42500000.0,,,,,,,,,,,,10000000.0,,32500000.0,,,,,
MaxxAthlete,,,,,E-Commerce & Retail, Curated Web ,,6000000.0,1.0,2008-03-11,2008-03-11,closed,,3000000.0,,,,,,,,,,,,3000000.0,,,,,,,
Maxymiser,USA,NY,New York City,New York,Advertising & Marketing, Internet Marketing ,2006-09-01,29554720.0,3.0,2009-01-20,2013-06-05,operating,,14777360.0,,,,,,,,,,,,2777360.0,12000000.0,,,,,,
Maya Medical,USA,CA,SF Bay Area,Campbell,Healthcare, Medical ,2010-01-01,6920582.0,4.0,2010-07-15,2012-03-26,acquired,,2370582.0,,,,4550000.0,,,,,,,,,,,,,,,
Maya's Mom,USA,CA,SF Bay Area,Palo Alto,Social & Communication, Social Media ,,1000000.0,1.0,2006-10-27,2006-10-27,acquired,,,,,,,1000000.0,,,,,,,,,,,,,,
Mayberry Media,USA,MI,Flint,Grand Blanc,Entertainment & Media, News ,,7500.0,1.0,2014-02-04,2014-02-04,operating,,7500.0,,,,,,,,,,,,,,,,,,,
Mayday PAC,USA,MA,Boston,Cambridge,Other, Governments ,,5000000.0,1.0,2014-07-06,2014-07-06,operating,,,5000000.0,,,,,,,,,,,,,,,,,,
Mayfair Gaming Group,GBR,,GBR - Other,Alderley Park,Mobile, Mobile ,2008-09-06,250000.0,1.0,2007-12-01,2007-12-01,operating,250000.0,,,,,,,,,,,,,,,,,,,,
Mayi Zhaopin,CHN,,Shanghai,Shanghai,Other, Recruiting ,,489000.0,1.0,2014-09-01,2014-09-01,operating,,,,,,,489000.0,,,,,,,,,,,,,,
MAYKOR,RUS,,Moscow,Moscow,Software & SaaS, Software ,2000-01-01,100000000.0,1.0,2013-08-27,2013-08-27,operating,,,,,,,,,100000000.0,,,,,,,,,,,,
Mayne Pharma,,,,,Biotechnology, Biotechnology ,1845-01-01,2705000.0,1.0,2012-10-12,2012-10-12,operating,2705000.0,,,,,,,,,,,,,,,,,,,,
Mayo Clinic Rochester,USA,MN,"Rochester, Minnesota",Rochester,Biotechnology, Biotechnology ,1919-01-01,18100000.0,2.0,2013-09-19,2014-10-13,operating,,,,,,,,18100000.0,,,,,,,,,,,,,
Mayomi,,,,,Software & SaaS, Enterprise Software ,2009-01-01,50000.0,1.0,2009-01-06,2009-01-06,operating,50000.0,,,,,,,,,,,,,,,,,,,,
Mayur Uniquoters Limited,IND,,Jaipur,Jaipur,Manufacturing & Logistics, Manufacturing ,1994-01-01,18000000.0,1.0,2014-03-19,2014-03-19,operating,,18000000.0,,,,,,,,,,,,,,,,,,,
MAZ,USA,NY,New York City,New York,Mobile, Mobile ,2010-07-01,1000000.0,3.0,2012-11-14,2013-08-01,operating,1000000.0,,,,,,,,,,,,,,,,,,,,
Mazoom,,,,,Other, Local Search ,2011-04-27,580000.0,2.0,2011-05-15,2012-04-10,operating,,,,,,,580000.0,,,,,,,,,,,,,,
Mazree,,,,,Software & SaaS, Enterprise Software ,2011-04-01,480000.0,1.0,2011-07-10,2011-07-10,operating,480000.0,,,,,,,,,,,,,,,,,,,,
Mazu Networks,USA,MA,Boston,Cambridge,Security, Security ,2000-01-01,7000000.0,1.0,2006-02-07,2006-02-07,acquired,,7000000.0,,,,,,,,,,,,,,,,,,,
Médecins Sans Frontières,USA,NY,New York City,New York,Healthcare, Health Care ,1971-01-01,6300000.0,1.0,2014-09-29,2014-09-29,operating,,,,,,,,6300000.0,,,,,,,,,,,,,
